Id,TestData,len,datetime,open,high,low,close,volume,openinterest,label,prediction,RandomSentimentStrat,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
72,TestData,72,2020-03-13 23:59:59.999989,5017.8310546875,5838.11474609375,4106.98095703125,5563.70703125,5563.70703125,74156772075.0,1.0,1.0,RandomSentimentStrat,72,737497.9999999999,Broker,72,177639.31442390542,108003.17121684135,BuySell,72,,,Trades - Net Profit/Loss,72,,

73,TestData,73,2020-03-14 23:59:59.999989,5573.07763671875,5625.2265625,5125.0693359375,5200.3662109375,5200.3662109375,36154506008.0,1.0,1.0,RandomSentimentStrat,73,737498.9999999999,Broker,73,177639.31442390542,112550.79625427414,BuySell,73,,,Trades - Net Profit/Loss,73,,

74,TestData,74,2020-03-15 23:59:59.999989,5201.06689453125,5836.64501953125,5169.283203125,5392.31494140625,5392.31494140625,33997889639.0,1.0,1.0,RandomSentimentStrat,74,737499.9999999999,Broker,74,177639.31442390542,110148.338826473,BuySell,74,,,Trades - Net Profit/Loss,74,,

75,TestData,75,2020-03-16 23:59:59.999989,5385.2294921875,5385.2294921875,4575.35791015625,5014.47998046875,5014.47998046875,45368026430.0,1.0,1.0,RandomSentimentStrat,75,737500.9999999999,Broker,75,177639.31442390542,114877.37457560515,BuySell,75,,,Trades - Net Profit/Loss,75,,

76,TestData,76,2020-03-17 23:59:59.999989,5002.578125,5371.3486328125,4981.9091796875,5225.62939453125,5225.62939453125,38622642935.0,1.0,1.0,RandomSentimentStrat,76,737501.9999999999,Broker,76,49908.84635447688,115313.56209898397,BuySell,76,4907.1805419921875,,Trades - Net Profit/Loss,76,49940.82066949239,

77,TestData,77,2020-03-18 23:59:59.999989,5227.11376953125,5331.833984375,5069.3359375,5238.4384765625,5238.4384765625,37878801016.0,1.0,-1.0,RandomSentimentStrat,77,737502.9999999999,Broker,77,114023.67485835249,114023.67485835249,BuySell,77,,5411.811494140625,Trades - Net Profit/Loss,77,249.5944691613554,

78,TestData,78,2020-03-19 23:59:59.999989,5245.41650390625,6329.73583984375,5236.96875,6191.19287109375,6191.19287109375,51000731797.0,1.0,1.0,RandomSentimentStrat,78,737503.9999999999,Broker,78,3387.553638833156,131411.47484618475,BuySell,78,5158.41421875,,Trades - Net Profit/Loss,78,,

79,TestData,79,2020-03-20 23:59:59.999989,6191.65380859375,6844.26171875,5865.78173828125,6198.7783203125,6198.7783203125,54442976103.0,1.0,1.0,RandomSentimentStrat,79,737504.9999999999,Broker,79,3387.553638833156,131568.32974851507,BuySell,79,,,Trades - Net Profit/Loss,79,,

80,TestData,80,2020-03-21 23:59:59.999989,6206.521484375,6378.13525390625,5932.8232421875,6185.06640625,6185.06640625,42494390880.0,1.0,1.0,RandomSentimentStrat,80,737505.9999999999,Broker,80,3387.553638833156,131284.78939658456,BuySell,80,,,Trades - Net Profit/Loss,80,,

81,TestData,81,2020-03-22 23:59:59.999989,6185.55810546875,6359.697265625,5823.7138671875,5830.2548828125,5830.2548828125,40099664740.0,1.0,-1.0,RandomSentimentStrat,81,737506.9999999999,Broker,81,3387.553638833156,123947.85716626978,BuySell,81,,,Trades - Net Profit/Loss,81,,

82,TestData,82,2020-03-23 23:59:59.999989,5831.37451171875,6443.9345703125,5785.00439453125,6416.31494140625,6416.31494140625,46491916000.0,1.0,1.0,RandomSentimentStrat,82,737507.9999999999,Broker,82,3387.553638833156,136066.63755744297,BuySell,82,,,Trades - Net Profit/Loss,82,,

83,TestData,83,2020-03-24 23:59:59.999989,6436.642578125,6789.02294921875,6411.06640625,6734.8037109375,6734.8037109375,48221910672.0,1.0,1.0,RandomSentimentStrat,83,737508.9999999999,Broker,83,3387.553638833156,142652.4735966119,BuySell,83,,,Trades - Net Profit/Loss,83,,

84,TestData,84,2020-03-25 23:59:59.999989,6738.716796875,6892.51123046875,6536.92626953125,6681.06298828125,6681.06298828125,44590107888.0,1.0,1.0,RandomSentimentStrat,84,737509.9999999999,Broker,84,3387.553638833156,141541.20179710255,BuySell,84,,,Trades - Net Profit/Loss,84,,

85,TestData,85,2020-03-26 23:59:59.999989,6675.1708984375,6735.4638671875,6590.962890625,6716.4404296875,6716.4404296875,35319797642.0,1.0,-1.0,RandomSentimentStrat,85,737510.9999999999,Broker,85,3387.553638833156,142272.75044457853,BuySell,85,,,Trades - Net Profit/Loss,85,,

86,TestData,86,2020-03-27 23:59:59.999989,6719.38916015625,6793.83642578125,6466.70166015625,6469.79833984375,6469.79833984375,34585598367.0,1.0,1.0,RandomSentimentStrat,86,737511.9999999999,Broker,86,3387.553638833156,137172.58830555045,BuySell,86,,,Trades - Net Profit/Loss,86,,

87,TestData,87,2020-03-28 23:59:59.999989,6467.25390625,6467.5009765625,6117.837890625,6242.19384765625,6242.19384765625,34885225901.0,1.0,1.0,RandomSentimentStrat,87,737512.9999999999,Broker,87,3387.553638833156,132466.09309841535,BuySell,87,,,Trades - Net Profit/Loss,87,,

88,TestData,88,2020-03-29 23:59:59.999989,6245.62451171875,6250.46728515625,5920.0859375,5922.04296875,5922.04296875,28373690931.0,1.0,1.0,RandomSentimentStrat,88,737513.9999999999,Broker,88,3387.553638833156,125845.88730787642,BuySell,88,,,Trades - Net Profit/Loss,88,,

89,TestData,89,2020-03-30 23:59:59.999989,5925.53857421875,6517.19580078125,5903.234375,6429.841796875,6429.841796875,37101651525.0,1.0,1.0,RandomSentimentStrat,89,737514.9999999999,Broker,89,3387.553638833156,136346.35119498768,BuySell,89,,,Trades - Net Profit/Loss,89,,

